Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,133.520004,133.610001,126.760002,129.410004,128.087082,143301900
2021-01-05,128.889999,131.740005,128.429993,131.009995,129.670715,97664900
2021-01-06,127.720001,131.050003,126.379997,126.599998,125.305801,155088000
2021-01-07,128.360001,131.630005,127.860001,130.919998,129.581619,109578200
2021-01-08,132.429993,132.630005,130.229996,132.050003,130.700073,105158200
2021-01-11,129.190002,130.169998,128.500000,128.979996,127.661461,100384500
2021-01-12,128.500000,129.690002,126.860001,128.800003,127.483299,91951100
2021-01-13,128.759995,131.449997,128.490005,130.889999,129.551941,88636800
2021-01-14,130.800003,131.000000,128.759995,128.910004,127.592194,90221800
2021-01-15,128.779999,130.220001,127.000000,127.139999,125.840279,111598500
2021-01-19,127.779999,128.710007,126.940002,127.830002,126.523224,90757300
2021-01-20,128.660004,132.490005,128.550003,132.029999,130.680283,104319500
2021-01-21,133.800003,139.669998,133.589996,136.869995,135.470810,120150900
2021-01-22,136.279999,139.850006,135.020004,139.070007,137.648346,114459400
2021-01-25,143.070007,145.089996,136.539993,142.919998,141.458984,157611700
2021-01-26,143.600006,144.300003,141.369995,143.160004,141.696518,98390600
2021-01-27,143.429993,144.300003,140.410004,142.059998,140.607773,140843800
2021-01-28,139.520004,141.990005,136.699997,137.089996,135.688553,142621100
2021-01-29,135.830002,136.740005,130.210007,131.960007,130.611008,177523800
2021-02-01,133.750000,135.380005,130.929993,134.139999,132.768707,106239800
2021-02-02,135.729996,136.309998,134.610001,134.990005,133.610046,83305400
2021-02-03,135.759995,135.770004,133.610001,133.940002,132.570786,89880900
2021-02-04,136.300003,137.399994,134.589996,137.389999,135.985504,84183100
2021-02-05,137.350006,137.419998,135.860001,136.759995,135.564224,75693800
2021-02-08,136.029999,136.960007,134.919998,136.910004,135.712891,71297200
2021-02-09,136.619995,137.880005,135.850006,136.009995,134.820755,76774200
2021-02-10,136.479996,136.990005,134.399994,135.389999,134.206177,73046600
2021-02-11,135.899994,136.389999,133.770004,135.130005,133.948471,64280000
2021-02-12,134.350006,135.529999,133.690002,135.369995,134.186356,60145100
2021-02-16,135.490005,136.009995,132.789993,133.190002,132.025421,80576300
2021-02-17,131.250000,132.220001,129.470001,130.839996,129.695969,97918500
2021-02-18,129.199997,130.000000,127.410004,129.710007,128.575851,96856700
2021-02-19,130.240005,130.710007,128.800003,129.869995,128.734436,87668800
2021-02-22,128.009995,129.720001,125.599998,126.000000,124.898285,103916400
2021-02-23,123.760002,126.709999,118.389999,125.860001,124.759514,158273000
2021-02-24,124.940002,125.559998,122.230003,125.349998,124.253975,111039900
2021-02-25,124.680000,126.459999,120.540001,120.989998,119.932098,148199500
2021-02-26,122.589996,124.849998,121.199997,121.260002,120.199730,164560400
2021-03-01,123.750000,127.930000,122.790001,127.790001,126.672630,116307900
